epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3955,1.65689,4.75348,1.30402,0,0,0,0,0,0,0,0,0,0
2,38.9779,1.63604,4.75842,1.32542,0,0,0,0,0,0,0,0.000653467,0.000653467,0.000653467
3,57.3364,1.60261,4.74975,1.31101,0,0,0,0,0,0,0,0.00128053,0.00128053,0.00128053
4,75.2927,1.67192,4.76714,1.32161,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
5,91.6899,2.69804,2.79705,1.99149,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
6,109.917,2.55606,2.91103,1.91567,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,127.11,2.65682,2.88289,1.99192,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,145.449,2.498,2.09591,1.75227,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,164.732,2.54324,2.13285,1.86984,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,184.571,2.57168,2.1897,1.88063,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,203.829,2.21702,2.34415,1.60502,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,222.056,2.0629,2.27494,1.53851,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,242.937,2.26742,2.34148,1.58439,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,264.246,2.26627,1.98358,1.48093,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,282.904,2.17369,1.68691,1.31019,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,303.61,2.19477,1.75003,1.31677,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,323.697,1.89458,1.57784,1.25998,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,343.35,1.89695,1.53794,1.2499,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,364.108,1.8213,1.56968,1.20632,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,385.714,1.77297,1.41042,1.23883,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,405.424,1.89097,1.37559,1.24001,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,428.319,1.87415,1.32917,1.2193,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,448.507,1.64556,1.18763,1.1641,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,470.8,1.64384,1.1724,1.18389,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,492.358,1.68454,1.22366,1.17646,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,512.632,1.59608,1.1305,1.14423,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,533.083,1.60356,1.14961,1.15571,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,554.484,1.54173,1.11664,1.11149,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,573.796,1.63779,1.14543,1.21323,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,593.871,1.53071,1.06619,1.15386,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,614.721,1.61997,1.11118,1.11729,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,635.095,1.52886,1.06127,1.09547,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,656.336,1.49927,1.07293,1.17806,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,678.032,1.52861,1.01632,1.0711,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,699.225,1.45401,1.03541,1.11444,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,720.587,1.53869,1.00507,1.1064,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,742.745,1.43407,0.9787,1.08923,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,765.509,1.45567,0.97413,1.11753,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,786.003,1.44937,0.97261,1.03767,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,806.165,1.38291,0.9599,1.07101,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,823.683,1.4456,1.03408,1.15111,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,843.432,1.41624,1.02678,1.10056,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,862.58,1.43308,1.05991,1.16734,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,882.574,1.3852,0.98299,1.12853,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,900.069,1.42955,0.9905,1.1077,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,920.441,1.38067,0.9951,1.08364,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,938.436,1.38156,0.99681,1.07481,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,957.347,1.32977,0.93453,1.09941,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,975.906,1.33823,0.93948,1.06778,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,997.289,1.36948,0.97613,1.08931,0.83277,0.27924,0.48143,0.30781,1.49571,2.7978,1.10573,5.96e-05,5.96e-05,5.96e-05
